en,zh-cn,zh-tw,pos,description,,,,,,,,,,,,,,,,,,,,,
.htaccess,.htaccess,.htaccess,noun,Apache 网页服务器的伪静态文件,,,,,,,,,,,,,,,,,,,,,
2-step authentication,两步验证,兩步驟驗證,noun,,,,,,,,,,,,,,,,,,,,,,
abbreviation,缩写,縮寫,noun,,,,,,,,,,,,,,,,,,,,,,
Abidjan,阿比让,阿必尚,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Abkhazian,阿布哈兹语,亞布卡薩文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
absolute path,绝对路径,絕對路徑,noun,,,,,,,,,,,,,,,,,,,,,,
accent color,强调色,強調色彩,noun,,,,,,,,,,,,,,,,,,,,,,
accent grave,重音符号,抑音符號,noun,,,,,,,,,,,,,,,,,,,,,,
access,访问,存取,verb,,,,,,,,,,,,,,,,,,,,,,
access,访问权,存取權,noun,,,,,,,,,,,,,,,,,,,,,,
access control,访问控制,存取控制,noun,,,,,,,,,,,,,,,,,,,,,,
accessibility ready,无障碍支持,無障礙支援,noun,,,,,,,,,,,,,,,,,,,,,,
account,帐户,帳號,noun,,,,,,,,,,,,,,,,,,,,,,
Accra,阿克拉,阿克拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
acquire,截取,擷取,verb,,,,,,,,,,,,,,,,,,,,,,
acronym,缩写词,縮略字,noun,,,,,,,,,,,,,,,,,,,,,,
ACT,澳大利亚首都特区,澳大利亞首都特區,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
action,动作,動作,noun,,,,,,,,,,,,,,,,,,,,,,
action,操作,操作,verb,,,,,,,,,,,,,,,,,,,,,,
action hook,动作挂钩,動作勾點,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
activate,启用,啟用,noun,,,,,,,,,,,,,,,,,,,,,,
activation code,激活码,啟用代碼,noun,,,,,,,,,,,,,,,,,,,,,,
active,已启用,已啟用,adjective,,,,,,,,,,,,,,,,,,,,,,
active,使用中,使用中,adjective,,,,,,,,,,,,,,,,,,,,,,
Active Directory,活动目录,Active Directory,noun,,,,,,,,,,,,,,,,,,,,,,
ad blocker,广告拦截器,廣告攔截器,noun,,,,,,,,,,,,,,,,,,,,,,
Adak,埃达克,埃達克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
adblocker,广告拦截器,廣告攔截器,noun,,,,,,,,,,,,,,,,,,,,,,
ad-blocker,广告拦截器,廣告攔截器,noun,,,,,,,,,,,,,,,,,,,,,,
add,添加,新增,verb,,,,,,,,,,,,,,,,,,,,,,
add translation,添加译文,新增譯文,verb,,,,,,,,,,,,,,,,,,,,,,
Addis Ababa,亚的斯亚贝巴,阿迪斯阿貝巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
addon,附加组件,附加元件,noun,,,,,,,,,,,,,,,,,,,,,,
add-on,附加组件,附加元件,noun,,,,,,,,,,,,,,,,,,,,,,
addon domain,附加域名,附加網域,noun,,,,,,,,,,,,,,,,,,,,,,
address book,通讯录,通訊錄,noun,,,,,,,,,,,,,,,,,,,,,,
Adelaide,阿德莱德,阿得雷德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aden,亚丁,亞頓,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
admin bar,管理栏,工具列,noun,Admin Bar 是核心程序中的旧称，新的同义字串是 Toolbar，即工具栏，所以新旧版称呼均统一称为「工具栏」,,,,,,,,,,,,,,,,,,,,,
admin panel,管理面板,管理面板,noun,,,,,,,,,,,,,,,,,,,,,,
administrator,网站管理员,網站管理員,noun,适用于 WordPress 默认用户角色,,,,,,,,,,,,,,,,,,,,,
Adobe,Adobe,Adobe,noun,,,,,,,,,,,,,,,,,,,,,,
Adobe Fonts,Adobe 字体,Adobe Fonts,noun,,,,,,,,,,,,,,,,,,,,,,
Adobe Fonts,Adobe 网页字体,Adobe Fonts 網頁字型,noun,,,,,,,,,,,,,,,,,,,,,,
advanced settings,高级设置,進階設定,noun,,,,,,,,,,,,,,,,,,,,,,
Afar,阿法尔,阿法文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Afghan afghani,阿富汗阿富汗尼,阿富汗阿富汗尼,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Afrikaans,南非荷兰语,南非荷蘭文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Akan,阿寒语,阿寒文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Albanian,阿尔巴尼亚语,阿爾巴尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
