en,zh-cn,pos,description,,,,,,,,,,,,,,,,,,,,,
.htaccess,.htaccess,noun,Apache 网页服务器的伪静态文件,,,,,,,,,,,,,,,,,,,,,
2-step authentication,两步验证,noun,,,,,,,,,,,,,,,,,,,,,,
abbreviation,缩写,noun,,,,,,,,,,,,,,,,,,,,,,
Abidjan,阿比让,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Abkhazian,阿布哈兹语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
absolute path,绝对路径,noun,,,,,,,,,,,,,,,,,,,,,,
accent color,强调色,noun,,,,,,,,,,,,,,,,,,,,,,
accent grave,重音符号,noun,,,,,,,,,,,,,,,,,,,,,,
access,访问,verb,,,,,,,,,,,,,,,,,,,,,,
access,访问权,noun,,,,,,,,,,,,,,,,,,,,,,
access control,访问控制,noun,,,,,,,,,,,,,,,,,,,,,,
accessibility ready,无障碍支持,noun,,,,,,,,,,,,,,,,,,,,,,
account,帐户,noun,,,,,,,,,,,,,,,,,,,,,,
Accra,阿克拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
acquire,截取,verb,,,,,,,,,,,,,,,,,,,,,,
acronym,缩写词,noun,,,,,,,,,,,,,,,,,,,,,,
ACT,澳大利亚首都特区,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
action,动作,noun,,,,,,,,,,,,,,,,,,,,,,
action,操作,verb,,,,,,,,,,,,,,,,,,,,,,
action hook,动作挂钩,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
activate,启用,noun,,,,,,,,,,,,,,,,,,,,,,
activation code,激活码,noun,,,,,,,,,,,,,,,,,,,,,,
active,已启用,adjective,,,,,,,,,,,,,,,,,,,,,,
active,使用中,adjective,,,,,,,,,,,,,,,,,,,,,,
Active Directory,活动目录,noun,,,,,,,,,,,,,,,,,,,,,,
ad blocker,广告拦截器,noun,,,,,,,,,,,,,,,,,,,,,,
Adak,埃达克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
adblocker,广告拦截器,noun,,,,,,,,,,,,,,,,,,,,,,
ad-blocker,广告拦截器,noun,,,,,,,,,,,,,,,,,,,,,,
add,添加,verb,,,,,,,,,,,,,,,,,,,,,,
add translation,添加译文,verb,,,,,,,,,,,,,,,,,,,,,,
Addis Ababa,亚的斯亚贝巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
addon,附加组件,noun,,,,,,,,,,,,,,,,,,,,,,
add-on,附加组件,noun,,,,,,,,,,,,,,,,,,,,,,
addon domain,附加域名,noun,,,,,,,,,,,,,,,,,,,,,,
address book,通讯录,noun,,,,,,,,,,,,,,,,,,,,,,
Adelaide,阿德莱德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aden,亚丁,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
admin bar,管理栏,noun,Admin Bar 是核心程序中的旧称，新的同义字串是 Toolbar，即工具栏，所以新旧版称呼均统一称为「工具栏」,,,,,,,,,,,,,,,,,,,,,
admin panel,管理面板,noun,,,,,,,,,,,,,,,,,,,,,,
administrator,网站管理员,noun,适用于 WordPress 默认用户角色,,,,,,,,,,,,,,,,,,,,,
Adobe,Adobe,noun,,,,,,,,,,,,,,,,,,,,,,
Adobe Fonts,Adobe 字体,noun,,,,,,,,,,,,,,,,,,,,,,
Adobe Fonts,Adobe 网页字体,noun,,,,,,,,,,,,,,,,,,,,,,
advanced settings,高级设置,noun,,,,,,,,,,,,,,,,,,,,,,
Afar,阿法尔,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Afghan afghani,阿富汗阿富汗尼,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Afrikaans,南非荷兰语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Akan,阿寒语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Albanian,阿尔巴尼亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Albanian lek,阿尔巴尼亚列克,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Algerian dinar,阿尔及利亚第纳尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Algiers,阿尔及尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
algorithm,算法,noun,,,,,,,,,,,,,,,,,,,,,,
Almaty,阿拉木图,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
alphabet,字母,noun,,,,,,,,,,,,,,,,,,,,,,
alphanumeric,字母数字,noun,,,,,,,,,,,,,,,,,,,,,,
alphanumeric character,字母数字字符,noun,,,,,,,,,,,,,,,,,,,,,,
alt text,替代文本,noun,,,,,,,,,,,,,,,,,,,,,,
alternate text,替代文本,noun,,,,,,,,,,,,,,,,,,,,,,
alternate URL,备用网址,noun,,,,,,,,,,,,,,,,,,,,,,
America,美国,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Amharic,阿姆哈拉语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Amman,安曼,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
ampersand,与号,noun,,,,,,,,,,,,,,,,,,,,,,
Amsterdam,阿姆斯特丹,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Anadyr,阿纳德尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
anchor,锚点,noun,,,,,,,,,,,,,,,,,,,,,,
Anchorage,安克雷奇,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Andorra,安道尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Android,Android,noun,操作系统名称,,,,,,,,,,,,,,,,,,,,,
Angolan kwanza,安哥拉宽扎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Anguilla,安圭拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
annotation,注解,noun,,,,,,,,,,,,,,,,,,,,,,
Antananarivo,塔那那利佛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Antarctica,南极洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Antigua,安提瓜,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Apache,Apache,noun,网页服务器名称,,,,,,,,,,,,,,,,,,,,,
Apia,阿皮亚,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
apostrophe,撇号,noun,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple,noun,,,,,,,,,,,,,,,,,,,,,,
Apple Music,Apple Music,noun,在线影音流媒体服务名称,,,,,,,,,,,,,,,,,,,,,
Application Pool,应用程序池,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
apply,申请,verb,,,,,,,,,,,,,,,,,,,,,,
approve,批准,verb,,,,,,,,,,,,,,,,,,,,,,
Aqtau,阿克陶,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aqtobe,阿克托贝,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Arabic,阿拉伯语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Aragonese,阿拉贡语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Araguaina,阿拉瓜纳,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
archive,存档,noun,,,,,,,,,,,,,,,,,,,,,,
archive,存档页面,noun,,,,,,,,,,,,,,,,,,,,,,
archive,压缩存档,noun,,,,,,,,,,,,,,,,,,,,,,
Arctic,北极,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Are you sure,确定要继续操作吗,noun,,,,,,,,,,,,,,,,,,,,,,
area,区域,noun,,,,,,,,,,,,,,,,,,,,,,
Argentina,阿根廷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Argentine peso,阿根廷比绍,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
argument,参数,noun,,,,,,,,,,,,,,,,,,,,,,
Armenian,亚美尼亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Armenian dram,亚美尼亚德拉姆,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
array,数组,noun,,,,,,,,,,,,,,,,,,,,,,
arrow key,方向键,noun,键盘按键名称,,,,,,,,,,,,,,,,,,,,,
arrow key,箭头键?,noun,,,,,,,,,,,,,,,,,,,,,,
Aruba,阿鲁巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aruban florin,阿鲁巴弗罗林,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
ASC,递增,adjective,如果是排序方式的属性值，请保留原文,,,,,,,,,,,,,,,,,,,,,
ascending,升序,adjective,,,,,,,,,,,,,,,,,,,,,,
ascending,递增,adjective,,,,,,,,,,,,,,,,,,,,,,
Ashgabat,阿什哈巴德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
